Problem,Ha,pHa,La,Hb,pHb,Lb,Manipulation,Amb,LotShape,LotNum,Corr,B1,B2,B3,B4,B5
1,3,1,3,4,0.8,0,abstract,0,-,1,0,0.4224,0.5712,0.568,0.5952,0.6496
2,3,0.25,0,4,0.2,0,abstract,0,-,1,0,0.6128,0.616,0.6208,0.6384,0.616
3,-1,1,-1,0,0.5,-2,abstract,0,-,1,0,0.5792,0.6032,0.5984,0.5776,0.5632
4,1,1,1,2,0.5,0,abstract,0,-,1,0,0.3536,0.5072,0.536,0.496,0.5392
5,-3,1,-3,0,0.2,-4,abstract,0,-,1,0,0.4928,0.464,0.416,0.3824,0.3568
6,0,0.75,-3,0,0.8,-4,abstract,0,-,1,0,0.3824,0.4016,0.3968,0.424,0.4064
7,-1,1,-1,0,0.95,-20,abstract,0,-,1,0,0.4784,0.6288,0.6192,0.6224,0.6384
8,1,1,1,20,0.05,0,abstract,0,-,1,0,0.3872,0.3824,0.328,0.336,0.2896
9,1,1,1,100,0.01,0,abstract,0,-,1,0,0.4656,0.3984,0.3888,0.3904,0.3856
10,2,1,2,101,0.01,1,abstract,0,-,1,0,0.5456,0.4544,0.4336,0.424,0.416
11,19,1,19,20,0.9,-20,abstract,0,-,1,0,0.1328,0.2192,0.208,0.1968,0.2064
12,0,1,0,50,0.5,-50,abstract,0,-,1,0,0.3376,0.4128,0.4304,0.4352,0.3808
13,0,1,0,50,0.5,-50,AcRj,0,-,1,0,0.3616,0.3696,0.4,0.3712,0.36
14,0,1,0,1,0.5,-1,abstract,0,-,1,0,0.4912,0.4512,0.4208,0.4064,0.376
15,7,1,7,50,0.5,1,abstract,0,-,1,0,0.7824,0.8432,0.8784,0.8288,0.8464
16,7,1,7,50,0.5,-1,abstract,0,-,1,0,0.7072,0.7904,0.8128,0.832,0.8304
17,30,1,30,50,0.5,1,abstract,0,-,1,0,0.2384,0.3296,0.3248,0.304,0.2896
18,30,1,30,50,0.5,-1,abstract,0,-,1,0,0.232,0.328,0.4032,0.3328,0.3328
19,9,1,9,9,1,9,StPb,0,R-skew,8,0,0.3648,0.3872,0.3568,0.3088,0.2976
20,9,1,9,9,1,9,abstract,0,R-skew,8,0,0.376,0.376,0.392,0.3632,0.3616
21,10,0.5,0,10,0.5,0,abstract,1,-,1,0,0.3728,0.416,0.4704,0.48,0.5072
22,10,0.1,0,10,0.1,0,abstract,1,-,1,0,0.8208,0.8384,0.7824,0.7072,0.6592
23,10,0.9,0,10,0.9,0,abstract,1,-,1,0,0.1456,0.1616,0.2576,0.3248,0.3184
24,-2,1,-2,-1,0.5,-3,abstract,0,-,1,0,0.4816,0.52,0.4784,0.4784,0.4496
25,2,1,2,3,0.5,1,abstract,0,-,1,0,0.4064,0.5008,0.4592,0.4624,0.4944
26,16,1,16,50,0.4,1,abstract,0,-,1,0,0.4992,0.6528,0.6112,0.5968,0.5456
27,16,1,16,48,0.4,1,abstract,0,L-skew,3,0,0.504,0.568,0.6,0.5776,0.5728
28,6,0.5,0,9,0.5,0,abstract,0,-,1,-1,0.9088,0.8656,0.8256,0.8464,0.8432
29,2,1,2,3,1,3,abstract,0,-,1,0,0.9664,0.9824,0.9904,0.9888,0.9952
30,6,0.5,0,8,0.5,0,abstract,0,-,1,1,0.9424,0.9648,0.9632,0.976,0.9792
31,4,1,4,40,0.6,-44,abstract,1,-,1,0,0.2321,0.3086,0.3432,0.4074,0.3654
32,24,0.75,-4,82,0.25,3,abstract,0,-,1,0,0.6815,0.684,0.6741,0.6691,0.6864
33,-3,1,-3,14,0.4,-22,abstract,0,-,1,0,0.3259,0.279,0.3062,0.2469,0.2198
34,7,1,7,27,0.1,4,abstract,0,Symm,3,0,0.3877,0.4469,0.4272,0.4123,0.4025
35,-5,1,-5,47,0.01,-15,abstract,0,-,1,0,0.1753,0.0889,0.042,0.0272,0.0494
36,28,1,28,88,0.6,-46,abstract,0,R-skew,3,0,0.3926,0.5457,0.558,0.6025,0.5679
37,23,0.9,0,64,0.4,-7,abstract,0,-,1,0,0.3802,0.4099,0.4198,0.3679,0.3728
38,24,1,24,34,0.05,28,abstract,0,-,1,0,0.9086,0.9778,0.9901,1,1
39,29,1,29,33,0.8,6,abstract,0,Symm,5,0,0.4988,0.6889,0.6963,0.684,0.6642
40,3,0.8,-37,79,0.4,-46,abstract,0,L-skew,7,0,0.4864,0.5358,0.6049,0.6,0.563
41,29,1,29,44,0.4,21,abstract,0,Symm,5,0,0.684,0.7309,0.7432,0.679,0.6765
42,-6,1,-6,54,0.1,-21,abstract,1,-,1,0,0.6049,0.4765,0.2543,0.2272,0.1975
43,14,1,14,12,0.9,9,abstract,0,-,1,0,0.1284,0.0444,0.0025,0,0.0049
44,23,1,23,24,0.99,-33,abstract,0,-,1,0,0.2741,0.437,0.4691,0.4938,0.4667
45,13,1,13,13,1,13,abstract,0,Symm,9,0,0.4963,0.558,0.5852,0.5333,0.5235
46,37,0.01,9,30,0.6,-37,abstract,0,-,1,0,0.2,0.2691,0.2716,0.3062,0.3012
47,11,1,11,57,0.2,-5,abstract,0,L-skew,6,0,0.2148,0.1951,0.2099,0.158,0.1457
48,-2,1,-2,24,0.5,-24,abstract,1,-,1,0,0.3901,0.4938,0.516,0.4469,0.4198
49,23,1,23,23,1,23,abstract,0,Symm,3,0,0.5383,0.4963,0.4938,0.484,0.4765
50,4,1,4,4,1,4,abstract,0,Symm,9,0,0.437,0.6568,0.5975,0.5704,0.5728
51,42,0.8,-18,68,0.2,23,abstract,0,-,1,0,0.7926,0.7086,0.7358,0.716,0.7037
52,46,0.2,0,46,0.25,-2,abstract,0,-,1,0,0.363,0.2617,0.2543,0.2222,0.2173
53,28,1,28,42,0.75,-22,abstract,0,-,1,0,0.3556,0.4272,0.4173,0.4148,0.4148
54,18,1,18,64,0.5,-33,abstract,0,-,1,0,0.321,0.2963,0.3086,0.321,0.2864
55,43,0.2,19,22,0.25,17,abstract,0,Symm,9,-1,0.2049,0.158,0.0938,0.0741,0.0691
56,-8,1,-8,-5,0.99,-34,abstract,0,-,1,0,0.763,0.8815,0.9062,0.9012,0.8938
57,49,0.5,-3,33,0.95,17,abstract,0,Symm,9,-1,0.7679,0.7086,0.6988,0.7309,0.7481
58,85,0.4,-7,40,0.25,24,abstract,0,-,1,0,0.6025,0.5111,0.521,0.5407,0.558
59,17,0.25,16,43,0.4,2,abstract,0,-,1,0,0.5111,0.5235,0.521,0.4938,0.4864
60,51,0.1,21,38,0.6,1,abstract,0,-,1,0,0.3654,0.3778,0.3407,0.2938,0.3012
61,26,0.25,25,29,0.05,24,abstract,0,R-skew,7,0,0.6675,0.6175,0.6175,0.6025,0.555
62,25,1,25,45,0.2,17,abstract,0,-,1,0,0.3225,0.3175,0.3475,0.3375,0.3375
63,17,1,17,60,0.1,15,abstract,0,Symm,5,0,0.6775,0.6975,0.67,0.66,0.69
64,52,0.1,-8,5,0.9,-43,abstract,1,-,1,0,0.3525,0.55,0.7,0.7225,0.675
65,12,0.4,-16,-5,1,-5,abstract,0,-,1,0,0.325,0.3975,0.435,0.4475,0.45
66,45,0.6,2,54,0.1,20,abstract,0,L-skew,5,0,0.43,0.345,0.3975,0.4375,0.4275
67,85,0.25,4,54,0.25,11,abstract,0,-,1,1,0.445,0.47,0.46,0.4775,0.43
68,12,1,12,102,0.2,-14,abstract,0,-,1,0,0.3875,0.27,0.2925,0.32,0.305
69,49,0.5,11,31,0.95,21,abstract,1,Symm,3,0,0.3875,0.285,0.37,0.4025,0.445
70,18,1,18,35,0.75,-19,abstract,0,-,1,0,0.38,0.5475,0.5775,0.5975,0.5825
71,13,0.6,-20,76,0.2,-26,abstract,0,-,1,0,0.3775,0.2525,0.2875,0.23,0.28
72,-9,1,-9,13,0.25,-8,abstract,0,-,1,0,0.8225,0.9575,0.995,1,1
73,2,1,2,51,0.05,0,abstract,0,Symm,7,0,0.37,0.3825,0.39,0.39,0.4125
74,44,0.05,16,14,0.9,10,abstract,1,Symm,3,0,0.1325,0.05,0.015,0.0025,0.0025
75,13,1,13,50,0.6,-45,abstract,0,-,1,0,0.3525,0.4375,0.415,0.4375,0.495
76,35,0.01,16,20,0.5,13,abstract,1,Symm,5,0,0.6775,0.7075,0.705,0.6825,0.6425
77,1,1,1,38,0.4,-9,abstract,0,-,1,0,0.645,0.6625,0.6525,0.6025,0.625
78,19,1,19,44,0.05,9,abstract,0,-,1,0,0.105,0.1175,0.1075,0.1425,0.12
79,32,0.01,19,65,0.01,9,abstract,0,-,1,0,0.14,0.0725,0.035,0.015,0.015
80,3,1,3,50,0.4,-36,abstract,0,-,1,0,0.4675,0.3725,0.4125,0.405,0.425
81,10,0.25,2,-1,0.9,-32,abstract,1,-,1,0,0.1375,0.035,0.0125,0.0125,0.0125
82,25,1,25,26,0.01,25,abstract,1,Symm,7,0,0.5475,0.72,0.7725,0.805,0.82
83,9,1,9,64,0.01,9,abstract,0,-,1,0,0.865,0.96,0.9825,0.9825,0.985
84,27,1,27,22,0.99,-7,abstract,0,-,1,0,0.0775,0.015,0,0.0025,0.0025
85,20,1,20,70,0.25,6,abstract,0,-,1,0,0.4275,0.4525,0.4875,0.46,0.4375
86,71,0.5,-11,61,0.75,-49,abstract,1,-,1,0,0.13,0.23,0.3025,0.315,0.2525
87,-2,1,-2,4,0.99,-34,abstract,0,Symm,7,0,0.805,0.955,0.98,0.96,0.975
88,17,0.05,-7,13,0.25,-15,abstract,1,-,1,0,0.68,0.5725,0.5125,0.4425,0.37
89,17,1,17,44,0.1,17,abstract,0,-,1,0,0.88,0.955,0.9925,1,1
90,10,1,10,31,0.75,-49,abstract,0,-,1,0,0.415,0.5525,0.5275,0.5575,0.545
